"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ericsson.oss.mediation.cache.model","src/main/java/com/ericsson/oss/mediation/cache/model/AlarmTableEntry.java","3","18","Classes implementing Serializable should set a serialVersionUID","JavaBean Rules","MissingSerialVersionUID"
"2","com.ericsson.oss.mediation.cache.model","src/main/java/com/ericsson/oss/mediation/cache/model/AlarmTableEntry.java","3","18","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"3","com.ericsson.oss.mediation.cache.model","src/main/java/com/ericsson/oss/mediation/cache/model/RiaModel.java","3","7","Classes implementing Serializable should set a serialVersionUID","JavaBean Rules","MissingSerialVersionUID"
"4","com.ericsson.oss.mediation.cache.model","src/main/java/com/ericsson/oss/mediation/cache/model/RiaModel.java","3","9","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"5","com.ericsson.oss.mediation.cache.model","src/main/java/com/ericsson/oss/mediation/cache/model/RiaModel.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"6","com.ericsson.oss.mediation.cache.model","src/main/java/com/ericsson/oss/mediation/cache/model/RiaModel.java","3","20","Parameter 'comSupervisionOID' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"7","com.ericsson.oss.mediation.cache.model","src/main/java/com/ericsson/oss/mediation/cache/model/RiaModel.java","3","32","Avoid excessively long variable names like comSupervisionType","Naming Rules","LongVariable"
"8","com.ericsson.oss.mediation.cache.model","src/main/java/com/ericsson/oss/mediation/cache/model/RiaModel.java","3","32","Parameter 'comSupervisionType' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"9","com.ericsson.oss.mediation.cache.model","src/main/java/com/ericsson/oss/mediation/cache/model/Severity.java","3","25","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"10","com.ericsson.oss.mediation.cache.model","src/main/java/com/ericsson/oss/mediation/cache/model/Severity.java","3","25","Private field 'value' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"11","com.ericsson.oss.mediation.cache.model","src/main/java/com/ericsson/oss/mediation/cache/model/Severity.java","3","61","Avoid variables with short names like i","Naming Rules","ShortVariable"
"12","com.ericsson.oss.mediation.cacheapi","src/main/java/com/ericsson/oss/mediation/cacheapi/MibCachingInterface.java","3","14","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"13","com.ericsson.oss.mediation.cacheapi","src/main/java/com/ericsson/oss/mediation/cacheapi/MibCachingInterface.java","3","19","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"14","com.ericsson.oss.mediation.cacheapi","src/main/java/com/ericsson/oss/mediation/cacheapi/MibCachingInterface.java","3","24","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"15","com.ericsson.oss.mediation.cacheapi","src/main/java/com/ericsson/oss/mediation/cacheapi/MibCachingInterface.java","3","32","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"16","com.ericsson.oss.mediation.cacheapi","src/main/java/com/ericsson/oss/mediation/cacheapi/MibCachingInterface.java","3","47","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"17","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentComponent.java","3","30","Parameter 'remaining' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"18","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentComponent.java","3","30","Parameter 'uri' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"19","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentComponent.java","3","31","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"20","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentComponent.java","3","31","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"21","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentComponent.java","3","31","Parameter 'parameters' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"22","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentComponent.java","3","33","Local variable 'endpoint' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"23","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","37","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"24","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","37","Private field 'port' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"25","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","38","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"26","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","38","Private field 'endpoint' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"27","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","39","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"28","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","39","Perhaps 'snmpAPI' could be replaced by a local variable.","Design Rules","SingularField"
"29","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","40","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"30","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","40","Private field 'snmpProcessor' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"31","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","43","Parameter 'endpoint' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"32","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","43","Parameter 'processor' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"33","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","50","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"34","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","50","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"35","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","54","Local variable 'session' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
